TenantId,Computer,ObjectName,CounterName,InstanceName,Min,Max,SampleCount,CounterValue,TimeGenerated,BucketStartTime,BucketEndTime,SourceSystem,CounterPath,StandardDeviation,MG,Type,"_ResourceId"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Read","C:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Write",HarddiskVolume1,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Avg. Disk sec/Write",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,Memory,"Available MBytes",,null,null,null,5940,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Memory\Available MBytes",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Write","C:",null,null,null,"0.000972378242295235","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Avg. Disk sec/Write",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Transfers/sec","D:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Disk Transfers/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"% Free Space","_Total",null,null,null,"92.5086364746094","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(_Total)\% Free Space",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Reads/sec",HarddiskVolume1,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Disk Reads/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"% Free Space","C:",null,null,null,"88.0435333251953","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\% Free Space",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Reads/sec","_Total",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(_Total)\Disk Reads/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,Processor,"% Processor Time","_Total",null,null,null,"0.814559817314148","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Processor(_Total)\% Processor Time",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Current Disk Queue Length","C:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Current Disk Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Current Disk Queue Length","_Total",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(_Total)\Current Disk Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Free Megabytes","C:",null,null,null,114056,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Free Megabytes",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Free Megabytes","D:",null,null,null,100507,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Free Megabytes",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Free Megabytes",HarddiskVolume1,null,null,null,465,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Free Megabytes",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Free Megabytes","_Total",null,null,null,215028,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(_Total)\Free Megabytes",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","6to4 Adapter",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(6to4 Adapter)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","Microsoft Hyper-V Network Adapter",null,null,null,"831.380859375","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft Hyper-V Network Adapter)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","Microsoft IP-HTTPS Platform Interface",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft IP-HTTPS Platform Interface)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","Microsoft Kernel Debug Network Adapter",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft Kernel Debug Network Adapter)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","Teredo Tunneling Pseudo-Interface",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Teredo Tunneling Pseudo-Interface)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Current Disk Queue Length",HarddiskVolume1,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Current Disk Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec","C:",null,null,null,"2.29746007919312","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Received/sec","Microsoft Hyper-V Network Adapter",null,null,null,"370.989868164063","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft Hyper-V Network Adapter)\Bytes Received/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Write","D:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Avg. Disk sec/Write",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec","D:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec",HarddiskVolume1,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec","_Total",null,null,null,"2.29746007919312","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(_Total)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Interface","Bytes Total/sec","Microsoft Hyper-V Network Adapter",null,null,null,"1202.37072753906","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Interface(Microsoft Hyper-V Network Adapter)\Bytes Total/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,System,"Processor Queue Length",,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\System\Processor Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Read","D:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Read",HarddiskVolume1,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Read","_Total",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(_Total)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Transfers/sec","C:",null,null,null,"2.29746007919312","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Disk Transfers/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Transfers/sec",HarddiskVolume1,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Disk Transfers/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Reads/sec","D:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Disk Reads/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Transfers/sec","_Total",null,null,null,"2.29746007919312","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(_Total)\Disk Transfers/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"% Free Space","D:",null,null,null,"98.1542434692383","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\% Free Space",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"% Free Space",HarddiskVolume1,null,null,null,"93.1863708496094","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\% Free Space",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Received/sec","Microsoft IP-HTTPS Platform Interface",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft IP-HTTPS Platform Interface)\Bytes Received/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Received/sec","Microsoft Kernel Debug Network Adapter",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft Kernel Debug Network Adapter)\Bytes Received/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Received/sec","Teredo Tunneling Pseudo-Interface",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Teredo Tunneling Pseudo-Interface)\Bytes Received/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Received/sec","6to4 Adapter",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(6to4 Adapter)\Bytes Received/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Current Disk Queue Length","D:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Current Disk Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,Memory,"% Committed Bytes In Use",,null,null,null,"13.068717956543","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Memory\% Committed Bytes In Use",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Write","_Total",null,null,null,"0.000972378242295235","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(_Total)\Avg. Disk sec/Write",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Reads/sec","C:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Disk Reads/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Write","C:",null,null,null,"0.000331898248987272","2019-11-17T21:34:56.72Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Avg. Disk sec/Write",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec","C:",null,null,null,"5.68382930755615","2019-11-17T21:34:56.72Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec","D:",null,null,null,0,"2019-11-17T21:34:56.72Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
